year,unit,section,bucks,does,fawns,total_harvest,total_hunters,pct_success,rec_days
2021,27,archery,18,18,0,36,142,25,844
2021,28,archery,14,23,0,37,273,14,1956
2021,29,archery,15,18,0,33,111,30,857
2021,30,archery,13,6,0,19,78,24,607
2021,31,archery,25,18,0,43,80,54,576
2021,32,archery,0,5,0,5,25,20,287
2021,34,archery,0,3,0,3,66,5,550
2021,35,archery,10,20,0,30,74,41,641
2021,36,archery,0,10,0,10,55,18,506
2021,361,archery,0,6,0,6,6,100,126
2021,37,archery,45,9,0,54,204,26,2109
2021,371,archery,9,0,0,9,120,8,764
2021,38,archery,11,0,0,11,156,7,1306
2021,39,archery,0,19,0,19,136,14,1006
2021,391,archery,10,4,0,14,55,25,402
2021,40,archery,42,0,0,42,74,57,559
2021,41,archery,33,16,0,49,170,29,1155
2021,411,archery,3,0,0,3,16,19,137
2021,42,archery,16,0,0,16,69,23,569
2021,421,archery,16,32,4,52,113,46,989
2021,43,archery,15,13,0,28,132,21,1009
2021,44,archery,17,9,0,26,51,51,367
2021,444,archery,17,8,0,25,97,26,799
2021,45,archery,17,11,0,28,55,51,432
2021,46,archery,22,13,0,35,82,43,438
2021,461,archery,9,0,0,9,36,25,262
2021,47,archery,0,4,0,4,28,14,350
2021,471,archery,4,4,0,8,49,16,406
2021,48,archery,5,0,0,5,61,8,498
2021,481,archery,5,0,0,5,79,6,629
2021,49,archery,4,6,0,10,120,8,832
2021,50,archery,5,0,0,5,71,7,455
2021,500,archery,5,5,0,10,73,14,465
2021,501,archery,25,10,0,35,87,40,661
2021,51,archery,5,19,0,24,98,24,630
2021,511,archery,53,0,0,53,118,45,770
2021,52,archery,7,0,0,7,42,17,228
2021,521,archery,7,0,0,7,49,14,447
2021,53,archery,11,0,0,11,44,25,363
2021,54,archery,5,0,0,5,49,10,481
2021,55,archery,15,0,0,15,59,25,461
2021,551,archery,17,0,0,17,42,40,253
2021,56,archery,5,0,0,5,47,11,360
2021,561,archery,7,0,0,7,31,23,246
2021,57,archery,4,0,0,4,36,11,170
2021,58,archery,13,12,0,25,43,58,307
2021,581,archery,10,0,0,10,53,19,187
2021,60,archery,10,0,0,10,40,25,327
2021,61,archery,14,0,0,14,48,29,499
2021,62,archery,25,0,0,25,154,16,1265
2021,63,archery,19,0,0,19,39,49,270
2021,64,archery,4,0,0,4,20,20,172
2021,65,archery,35,0,0,35,94,37,747
2021,66,archery,16,0,0,16,60,27,526
2021,67,archery,18,0,0,18,61,30,665
2021,68,archery,16,0,0,16,55,29,442
2021,681,archery,12,0,0,12,52,23,330
2021,69,archery,37,2,0,39,108,36,764
2021,691,archery,0,0,0,0,10,0,46
2021,70,archery,15,0,0,15,115,13,1246
2021,71,archery,10,0,0,10,85,12,737
2021,711,archery,13,0,0,13,46,28,328
2021,72,archery,16,0,0,16,61,26,417
2021,73,archery,16,0,0,16,54,30,594
2021,74,archery,24,0,0,24,95,25,861
2021,741,archery,8,0,0,8,49,16,388
2021,75,archery,37,14,0,51,194,26,1726
2021,751,archery,3,0,0,3,88,3,619
2021,76,archery,8,0,0,8,25,32,199
2021,77,archery,29,6,0,35,139,25,1348
2021,771,archery,0,0,0,0,6,0,83
2021,78,archery,46,13,0,59,143,41,1242
2021,79,archery,4,0,0,4,8,50,84
2021,791,archery,2,0,0,2,2,100,12
2021,80,archery,18,0,0,18,99,18,621
2021,81,archery,22,0,0,22,133,17,1126
2021,82,archery,8,0,0,8,45,18,338
2021,83,archery,1,0,0,1,6,17,45
2021,84,archery,17,0,0,17,83,20,659
2021,85,archery,30,0,0,30,94,32,749
2021,851,archery,8,0,0,8,27,30,308
2021,86,archery,8,2,0,10,58,17,340
2021,87,archery,0,0,0,0,11,0,132
2021,88,archery,0,0,0,0,11,0,53
2021,89,archery,6,0,0,6,27,22,104
